addressable_patients,peak_penetration,annual_price_usd,approval_prob,ramp_years,exclusivity_years,operating_margin,discount_rate,peak_revenue_musd,npv_if_approved_musd,rnpv_musd,synergy_musd
47213,0.3727123843712488,76335.76735056026,0.869796515905461,4,13,0.7212284981043539,0.11822459635424175,1343.2705594043168,5505.3410619309325,4788.526474538796,468.8225017497877
46286,0.24661552533422307,85567.32678324444,0.873231705332667,4,12,0.5286154256671788,0.08796201753739129,976.7378754567515,3641.468117924718,3179.8454145299393,556.0097268659575
47869,0.27815899747704265,84973.69239807012,0.8548285617142773,4,11,0.5809614458526904,0.09769311924352955,1131.441118471042,3684.425332444112,3149.5520076768485,187.03293028132728
43442,0.26583570370527587,93184.16850867712,0.8270208638929429,6,10,0.6304379797501741,0.1186180792086364,1076.1312795391784,2961.504640041604,2449.2261258301664,573.9981673591844
36151,0.41942253461195395,84860.5837929219,0.8835090283350612,5,13,0.7425992293809384,0.12929418233155968,1286.7023397633914,4410.299253715234,3896.5392083167917,229.1202305805912
50703,0.26838196921658575,82068.78852171624,0.8622211506757099,4,13,0.7308188198868562,0.10898932904031648,1116.7732792353852,4945.5425086590685,4264.1513525316595,454.9022416911043
39671,0.3139077458614029,94468.85671995566,0.8540170709003329,6,11,0.5683751980829629,0.09923166683655261,1176.4239022523407,2971.7801986770924,2537.9510206338196,109.00828850892006
58060,0.289771076212598,90750.3243643134,0.8481376147970613,4,10,0.6156995578065537,0.08964272220766419,1526.7933202954496,5262.209341663982,4463.0776796017035,365.66707842801117
51217,0.25164766454386783,91804.10816368375,0.8854870951215269,5,11,0.6301837570634224,0.10634090878718473,1183.2299569641445,3572.867894363296,3163.728413032721,184.33990318447408
39077,0.3514709400652641,86162.11363433563,0.8948754282405397,6,13,0.5907436265556504,0.09851162718270569,1183.3875118946664,3589.0951120718464,3211.793025411321,175.49882367714372
51661,0.33795043853770557,85350.06625087006,0.8571433058680006,4,12,0.5899528170549444,0.13360528352865833,1490.1146532765551,4433.300939206776,3799.974222939408,422.3850134239083
53866,0.33127261439254596,85609.0819563721,0.8631868383924524,4,11,0.6056492800381899,0.1173465746361751,1527.6367648044004,4740.9532242107225,4092.328424572957,336.27584421228886
54078,0.33129416546258017,77252.8696609524,0.908336449141129,6,13,0.5670872662973562,0.11268907458564331,1384.0412362801394,4009.053023111157,3641.568987431297,536.6597043806289
46244,0.3515357129092695,86140.6306841121,0.9257576426607342,4,12,0.6698201489926547,0.09215874261136699,1400.3380567840888,5540.498874066352,5129.159176820119,79.2926952055398
47300,0.3556188616050638,92553.15748405992,0.8557937623154664,5,12,0.573234428247348,0.08,1556.8155741652026,5474.409160258104,4684.965211711536,364.622525343258
46338,0.3186408506868721,84793.9469682037,0.8610040335672814,4,13,0.7031541992774659,0.12012904424773253,1251.997867775639,4860.047864944417,4184.520815047197,335.90057504911766
42934,0.2929645084836035,79039.85467585854,0.903277619462374,5,11,0.5192324430798926,0.09592405386012144,994.174215992721,2869.3267014066087,2591.7985923063875,370.00835362109
54251,0.25897376411232836,76734.80299319504,0.8482673941690281,6,13,0.7269298171121648,0.11385411928592681,1078.092189049708,4019.1825505777747,3409.341508868237,579.5220481748032
49522,0.2617533486772704,86191.66056598643,0.8746138768443419,5,11,0.5823548669373514,0.09756916135603129,1117.263652196665,3305.4761880062456,2891.015343608799,186.9095099376905
52194,0.29112442217305673,81838.49309754153,0.8454895608901837,6,12,0.6105195260852606,0.09859678395078869,1243.5316544546645,3972.7884329592016,3358.951147692276,478.09936231088807
36076,0.29130979844616134,83385.66069030305,0.8699306798675309,6,13,0.5266550014477023,0.08,876.3242808844018,3150.805020378157,2740.9819535076,575.1301108030257
47556,0.22865600732980712,93734.00114072848,0.8475274723616782,4,12,0.6682663466066519,0.10264179159953322,1019.2602556419172,3981.309995398444,3374.269597088328,261.0191334711934
