peak_sales_musd,approved,time_to_peak,exclusivity_years,operating_margin,discount_rate,npv_musd
938.3683011050102,1,5,12,0.6401018515649343,0.11715242141486165,2801.9250895521864
886.2521309469112,1,5,10,0.700314640460722,0.10134662195715277,2763.642592331833
801.3857950031598,1,4,10,0.6138330458774384,0.14650772117603625,1911.527557130988
842.5244978522322,1,4,10,0.6685572936685654,0.10094022219926269,2725.537469759805
1016.7131546543319,1,6,10,0.6744022039689375,0.13370201142612803,2371.9049003135297
966.6048628521474,1,4,10,0.6256196887963753,0.10351162718270569,2888.58109157007
771.589151710954,1,6,11,0.5395946724163061,0.11541167637010143,1708.5026641308111
982.4630306732162,1,6,11,0.6625095246123822,0.12208602949289178,2573.575722895642
872.4596068066072,1,4,10,0.5894749420465316,0.08579884016673812,2688.6851877511917
870.5091863819373,1,6,12,0.5760706877110079,0.12715631064810393,2047.501294336218
761.9575211395146,1,4,10,0.6982961003979795,0.11123082306729197,2445.897280402551
945.7832248513791,1,4,10,0.6915167908272123,0.09715874261136699,3225.68129002521
704.9355907060273,1,5,10,0.6326236633113522,0.12243708026877902,1782.2561576974758
958.1953695241282,1,4,12,0.6277853369961944,0.11565950739567278,3048.0093759033125
793.6406125402483,1,5,12,0.719295166064555,0.12512904424773255,2545.630079269062
873.1884039044842,1,4,12,0.6444013739702692,0.11489635047606071,2863.108820933695
793.0440088668478,1,5,11,0.6880959493217833,0.11318983643574529,2453.234816252788
761.8948500730734,1,4,12,0.6821676965527035,0.13347056877400293,2392.7197684125144
745.9121461560942,0,4,10,0.6104762772277345,0.11707202535703994,0.0
881.6709834189841,1,5,12,0.659194167595258,0.11150143163869547,2800.443829812534
1008.4929385348449,1,5,10,0.6527862456144348,0.12641287277706423,2579.1539918605704
885.5669953605661,1,4,10,0.7035498233602627,0.10125799097880504,3009.906198386985
670.4176901341523,1,6,10,0.5722125012064185,0.07,1872.5305801004147
1004.2198170583882,1,6,12,0.6377128467957028,0.10590914645378495,2964.4146628043695
862.4423742187835,1,4,10,0.6140848291914626,0.12358831417235755,2292.3664202759105
790.7435585286188,1,4,12,0.6481482043140441,0.11644172368075505,2585.8090474460005
876.8338152858512,0,6,10,0.621084303853635,0.0963416323289018,0.0
817.0159374556063,1,6,12,0.6216418416032302,0.1269333311457036,2076.371854595549
855.410713030303,1,4,11,0.6651552833050289,0.12749751244887658,2569.041124341375
812.6776602053503,1,5,11,0.5732660759008622,0.15194049062502915,1710.2301561945576
862.1215525575941,1,4,10,0.6554866319593896,0.10724095766886532,2649.586489513843
806.5476506525312,0,5,10,0.6967839196573731,0.12907332642491237,0.0
699.3825811933066,1,6,12,0.7785686179844392,0.11223508050350486,2426.6538931266878
824.7409858351989,1,6,10,0.7358328888227362,0.11661452272791903,2293.2641434878733
952.0065333461113,0,5,12,0.6362095217199004,0.09413703122849987,0.0
820.7603745006785,1,5,12,0.6844419123516393,0.11700173825397293,2622.769197100016
755.118600017522,0,4,11,0.5879249384525439,0.09775541886417731,0.0
834.8575579603225,1,4,10,0.7123347368264794,0.07745183469438713,3247.786630494009
848.1196295730903,1,5,11,0.6322483836176638,0.11386209851873987,2401.8764873617433
878.9793442825718,0,6,10,0.7639239364094204,0.07,0.0
929.529419622402,1,4,12,0.6808694904860163,0.09199745005397586,3665.1358730043085
844.8162059732078,1,4,10,0.7051512633388891,0.127271380616971,2533.3837832906793
958.722563868335,1,5,10,0.6704126377857236,0.0844612459364324,3130.799757908355
901.9717032583089,1,6,10,0.7310266722582939,0.1335574195289171,2282.578006529704
905.8779401676711,1,4,10,0.5579562884334177,0.09080634549896448,2574.9866809079194
867.3591649007407,1,5,12,0.6387497048314813,0.12811388255645392,2429.731934086429
1002.5078910646628,1,6,11,0.7540657328382571,0.10543169542269114,3282.375902407821
1015.6990253557841,1,4,11,0.6212181086881113,0.11183014721968042,3088.5748386028877
861.9689154966081,1,5,10,0.6323913508200205,0.11363780638418779,2277.789360342883
732.2338151627589,1,4,10,0.6186516471106116,0.13718672836995394,1838.1438059354114
798.9166981621592,1,4,12,0.6810904981108599,0.08644662920164316,3254.9293325330777
830.2433097915216,1,6,10,0.5840326055431297,0.10660632171486986,1932.2058115930665
872.9842661401314,0,6,10,0.6902401589366903,0.12395380018930312,0.0
897.9815669952795,0,5,10,0.7177422586186625,0.125429639454546,0.0
718.1441310699895,1,5,12,0.552375656349466,0.1058075140129994,1975.6539918874655
754.1490858854834,1,6,11,0.7178428387109445,0.10460844088962647,2361.692435731402
930.6475912882394,1,6,11,0.7595533002779858,0.11510101445787847,2905.772432100762
901.6160967337903,1,4,11,0.6539828928763793,0.1251997405408303,2693.5988205646504
849.2307570565713,1,6,12,0.6587710537650057,0.13082886682166273,2236.4603162363346
904.9005566296021,1,4,10,0.5825268214287238,0.11878255191287869,2335.24920941645
696.8622485598847,0,5,12,0.6541141994637713,0.12598220562598028,0.0
1017.2057736475593,1,6,11,0.7111585475295729,0.09974852314804816,3245.3088424235075
840.1940646414388,1,4,12,0.6096984840164715,0.106988122009389,2723.5843722543304
823.9923611672592,1,4,11,0.6495567988671811,0.10797990868876103,2673.5573306306364
813.493910837497,0,5,11,0.5704342752062047,0.11954947226619222,0.0
999.5666837223455,1,6,10,0.6023270414514049,0.10587314020479388,2408.579364627524
1029.9769036348387,1,4,12,0.6637002892542786,0.11075459784132981,3558.924537239447
985.8614221211517,1,5,10,0.6425405420120641,0.10010879882823497,2838.9850143050376
964.9274092177288,1,6,10,0.6292066329294108,0.10843925364800545,2395.765659072356
1030.666779864369,1,4,10,0.5875412469337976,0.11857221044865476,2685.449203062367
867.2002818968505,1,4,10,0.6554334415533676,0.08436848541230631,2993.671139256794
860.7479641627275,0,6,12,0.6147394631835109,0.0994456990561033,0.0
871.7668353974582,1,5,10,0.6193605654757807,0.10418447660096024,2368.896273455206
988.1257803837718,0,5,10,0.675336733124342,0.10698930577494074,0.0
927.4063258224347,1,6,11,0.6942050418279591,0.0957397431289201,2956.2791504473635
861.85302898496,1,4,10,0.6521635847372146,0.12545710130653745,2411.110349710361
997.4465672808328,1,5,12,0.6704706708934566,0.1195695990522616,3077.0677865567063
867.9262727500088,0,4,12,0.670280879657019,0.12072510520701711,0.0
964.5895108970989,1,5,12,0.6035865274291775,0.11891553213384755,2688.8158818222837
984.6057949317401,0,4,12,0.6229050437805727,0.11958336568905159,0.0
998.6535510873907,1,5,11,0.6094612040053508,0.12293394537195318,2596.3513759285215
